Wall time,Step,Value
1716327684.2675128,353556,-35.05095291137695
1716327685.075165,354039,-35.02048873901367
1716327685.8792944,354522,-35.119651794433594
1716327690.2735348,356937,-35.20020294189453
1716327694.342778,358869,-34.96587371826172
1716327696.3772802,359835,-34.742713928222656
1716327711.465412,365631,-33.458770751953125
1716327714.077888,366597,-33.64394760131836
1716327721.884879,369495,-34.259727478027344
1716327723.1935978,369978,-34.4109992980957
1716327728.441867,371910,-34.67394256591797
1716327731.5039694,373359,-34.55803298950195
1716327734.5436177,374808,-34.62759017944336
1716327735.5577834,375291,-34.60958480834961
1716327737.5809314,376257,-34.65211486816406
1716327738.5886946,376740,-34.49289321899414
1716327739.6042492,377223,-34.32417678833008
1716327740.6235442,377706,-34.162986755371094
1716327741.6407616,378189,-34.0745735168457
1716327747.7519717,381087,-34.28642272949219
1716327764.028745,388815,-33.295860290527344
1716327765.0474079,389298,-33.25570297241211
1716327766.0673788,389781,-32.94511413574219
1716327767.0870025,390264,-32.76924514770508
1716327770.2526448,391713,-32.72197723388672
1716327778.3513298,395577,-33.89979934692383
1716327779.3709126,396060,-33.81671142578125
1716327788.4727793,400407,-33.51240158081055
1716327792.542704,402339,-34.02949142456055
1716327793.5470843,402822,-34.03120422363281
1716327795.556435,403788,-33.96572494506836
1716327796.5675802,404271,-33.89570999145508
1716327799.4007308,405720,-33.978633880615234
1716327800.2032201,406203,-33.93558120727539
1716327803.124536,407652,-34.110469818115234
1716327805.1497865,408618,-34.238895416259766
1716327810.2255936,411033,-34.01925277709961
1716327811.237724,411516,-34.13151550292969
1716327817.316893,414414,-34.115257263183594
1716327820.910157,415863,-34.14824295043945
1716327823.5283785,416829,-34.160736083984375
1716327827.417092,418278,-34.301578521728516
1716327828.734361,418761,-34.664920806884766
1716327833.4570038,420693,-34.92161560058594
1716327834.7520347,421176,-34.917945861816406
1716327851.0253773,427455,-34.2127799987793
1716327853.0462449,428421,-34.03105926513672
1716327857.1272936,430353,-34.01013946533203
1716327859.206996,431319,-34.09823989868164
1716327862.2241106,432768,-34.237403869628906
1716327864.260517,433734,-34.597206115722656
1716327865.2712774,434217,-34.37655258178711
1716327868.305215,435666,-34.5246696472168
1716327869.310444,436149,-34.341548919677734
1716327874.3507864,438564,-34.23374938964844
1716327875.3560007,439047,-34.20502853393555
1716327877.3646698,440013,-34.06340026855469
1716327878.3740733,440496,-33.979095458984375
1716327881.4034386,441945,-34.10304260253906
1716327885.4393277,443877,-33.44437026977539
1716327886.4517303,444360,-33.60129928588867
1716327888.4651954,445326,-33.303619384765625
1716327894.6867452,448707,-33.68912887573242
1716327896.5661402,449673,-33.641056060791016
1716327897.3676505,450156,-33.60928726196289
1716327898.2733366,450639,-33.65863037109375
1716327905.303764,454020,-33.44468688964844
1716327908.3121765,455469,-33.468509674072266
1716327911.2984066,456918,-33.583641052246094
1716327915.25323,458850,-33.41212844848633
1716327918.2416658,460299,-33.72780990600586
1716327921.2300224,461748,-33.66597366333008
1716327926.1959069,464163,-34.4897346496582
1716327929.1874077,465612,-34.242923736572266
1716327931.202598,466578,-34.07579040527344
1716327933.2066548,467544,-34.10336685180664
1716327934.2137196,468027,-34.09757614135742
1716327944.2734652,472857,-33.28778839111328
1716327945.2472742,473340,-33.2451286315918
1716327948.270864,474789,-33.43312454223633
1716327952.316161,476721,-33.59270095825195
1716327956.360177,478653,-33.835914611816406
1716327958.5125356,479619,-33.80686950683594
1716327960.5109205,480585,-33.80638122558594
1716327962.5012577,481551,-33.5709228515625
1716327964.4971588,482517,-33.395870208740234
1716327965.3311994,483000,-33.26967239379883
1716327967.962867,484449,-32.990509033203125
1716327968.9636848,484932,-33.05109786987305
1716327969.973114,485415,-33.27982711791992
1716327971.9981818,486381,-33.3498649597168
1716327977.0574927,488796,-33.28171920776367
1716327978.974408,489762,-33.31843948364258
1716327980.9813743,490728,-33.49855422973633
1716327987.986666,494109,-33.75547409057617
1716327991.9710588,496041,-34.07035827636719
1716327993.9606178,497007,-33.87328338623047
1716328000.8904595,500388,-34.326438903808594
1716328001.8896778,500871,-34.11408233642578
1716328002.8829098,501354,-33.97146224975586
1716328003.877771,501837,-34.19152069091797
1716328004.8770554,502320,-34.14497375488281
1716328008.812531,504252,-34.56657791137695
1716328011.8096504,505701,-34.418922424316406
1716328021.8589919,510531,-34.63190460205078
1716328023.858118,511497,-34.75580978393555
1716328025.8603582,512463,-34.47395706176758
1716328027.874189,513429,-34.23345184326172
1716328030.8312688,514878,-33.58266067504883
1716328032.8440752,515844,-33.41970443725586
1716328034.862702,516810,-33.31052780151367
1716328035.8708236,517293,-33.30458068847656
1716328036.877892,517776,-33.11076736450195
1716328037.8918521,518259,-33.07868576049805
1716328038.950519,518742,-33.05195999145508
1716328042.985695,520674,-33.2211799621582
1716328045.9988022,522123,-33.25416946411133
1716328050.7483873,524538,-33.35581970214844
1716328051.5503597,525021,-33.53689193725586
1716328052.3508894,525504,-33.69003677368164
1716328055.7998054,527436,-33.53252410888672
1716328064.157475,530817,-33.06558609008789
1716328066.6591349,531783,-33.07125473022461
1716328069.1692045,532749,-33.321353912353516
1716328070.4850495,533232,-33.21760940551758
1716328071.7943106,533715,-33.2890510559082
1716328075.6656737,535164,-32.93988800048828
1716328078.209494,536130,-33.32302474975586
1716328080.809147,537096,-33.07063293457031
1716328082.1268487,537579,-33.071693420410156
1716328084.7365675,538545,-33.4659423828125
1716328091.1606185,540960,-33.28984069824219
1716328093.7589192,541926,-32.83168411254883
1716328095.0679471,542409,-32.8746223449707
1716328098.8909657,543858,-32.94100570678711
1716328100.1944613,544341,-33.185264587402344
1716328102.7612984,545307,-33.389915466308594
1716328104.0571146,545790,-33.29998016357422
1716328107.9401646,547239,-33.06952667236328
1716328110.5584505,548205,-33.01461410522461
1716328113.0888922,549171,-32.83502960205078
1716328117.000779,550620,-33.007232666015625
1716328126.098921,554001,-33.66934585571289
1716328131.2645142,555933,-33.8838996887207
1716328132.5703862,556416,-34.09883499145508
1716328133.869603,556899,-34.15824890136719
1716328144.5324724,561729,-34.04963684082031
1716328146.5124576,562695,-33.7414665222168
1716328149.641416,564144,-33.74380874633789
1716328157.476208,567042,-32.96146011352539
1716328158.732331,567525,-32.9334716796875
1716328161.3403065,568491,-32.98293685913086
1716328162.6265564,568974,-32.924537658691406
1716328163.906003,569457,-32.805301666259766
1716328169.0968874,571389,-32.885501861572266
1716328171.7105339,572355,-33.02763366699219
1716328174.3337252,573321,-33.175174713134766
1716328178.260288,574770,-33.08903503417969
1716328179.2767773,575253,-33.05156326293945
1716328183.179867,576702,-33.44717025756836
1716328184.467291,577185,-33.36954116821289
1716328188.3705413,578634,-33.50643539428711
1716328198.8064985,582498,-33.49427795410156
1716328200.0970645,582981,-33.49082946777344
1716328201.4034524,583464,-33.598915100097656
1716328210.1763256,586845,-33.72563934326172
1716328214.5304084,588777,-33.17115783691406
1716328218.7662427,591192,-33.11508560180664
1716328220.7949817,592158,-33.23525619506836
1716328224.8602722,594090,-33.31834030151367
1716328227.9174984,595539,-33.41555404663086
1716328234.0215197,598437,-33.35661315917969
1716328240.1191754,601335,-33.19822692871094
1716328242.0963466,602301,-33.055641174316406
1716328245.1352847,603750,-32.926849365234375
1716328246.1513634,604233,-32.941890716552734
1716328247.154353,604716,-32.92146682739258
1716328248.1487615,605199,-33.02954864501953
1716328250.1121247,606165,-33.03807830810547
1716328252.147719,607131,-33.14404296875
1716328253.1602767,607614,-33.10974884033203
1716328256.200791,609063,-33.010318756103516
1716328257.2154438,609546,-33.039676666259766
1716328263.4236798,612444,-33.04875946044922
1716328267.4842877,614376,-33.15842056274414
1716328271.7758846,616791,-32.71816635131836
1716328272.5865722,617274,-32.55750274658203
1716328273.391556,617757,-32.724761962890625
1716328277.0306857,619689,-32.914817810058594
1716328280.4946558,621138,-33.22595977783203
1716328286.964532,623553,-33.21418380737305
1716328290.8822038,625002,-33.371883392333984
1716328297.4524124,627417,-33.741249084472656
1716328298.7624793,627900,-33.55805587768555
1716328302.7183502,629349,-33.88303756713867
1716328307.9749792,631281,-33.57823944091797
1716328313.1817937,633213,-33.6583137512207
1716328319.7218885,635628,-33.50690841674805
1716328326.2084563,638043,-33.364845275878906
1716328328.794426,639009,-33.27490234375
1716328331.8241167,640458,-33.099891662597656
1716328332.8238707,640941,-33.24293518066406
1716328334.8434353,641907,-33.12189483642578
1716328341.8808002,645288,-33.214664459228516
1716328352.051228,650118,-33.60658645629883
1716328355.078806,651567,-33.590301513671875
1716328361.0799181,654465,-33.239234924316406
1716328367.1251297,657363,-33.45735168457031
1716328371.1506774,659295,-33.3986930847168
1716328372.1605873,659778,-33.45561218261719
1716328373.1673865,660261,-33.58502960205078
1716328374.1768236,660744,-33.49894714355469
1716328375.1824715,661227,-33.59009552001953
1716328382.2339368,664608,-33.81415557861328
1716328383.2429836,665091,-33.59722900390625
1716328387.2823365,667023,-33.66450881958008
1716328392.2225506,669438,-33.623680114746094
1716328393.2250688,669921,-33.544498443603516
1716328397.263637,671853,-33.81014633178711
1716328400.227367,673302,-33.776878356933594
1716328404.26442,675234,-33.77412033081055
1716328421.9046257,684894,-33.55738067626953
1716328425.9292662,686826,-33.227046966552734
1716328435.9433606,691656,-33.77684020996094
